Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
Vismara V52 Dreamer Tech;https://www.yachtall.com/en/boat/vismara-v52-dreamer-tech-s146728; Volvo Penta, 75 hp (55 kW), diesel; McConaghy Boats, used boat; 15.05 m x 4.18 m;2007;Italy, Sicilia;340000;McConaghy Boats;15.05;4.18;16
Jeanneau 53;https://www.yachtall.com/en/boat/jeanneau-53-s213501; Yanmar 4jh4hte, 110 hp (81 kW), diesel; Jeanneau, used boat, GRP/polyester; 15.73 m x 4.77 m;2014;Italy, Nähe Sardinien;340000;Jeanneau;15.73;4.77;9
Elan Impression 43;https://www.boat24.com/en/sailingboats/elan/elan-impression-43/detail/549773/;1 x 57 HP / 42 kW;;13.32 x 4.25 m;2023;Croatia » Croatia;339000;Elan;13.32;4.25;0
Bénéteau Océanis 40.1;https://www.yachtall.com/en/boat/beneteau-oceanis-40.1-s198936; Yanmar 4JH45 CR LA, 45 hp (33 kW), diesel; Dehler, used boat; 12.87 m x 4.19 m;2022;France, Martigues;339000;Dehler;12.87;4.19;1
Bénéteau 57;https://www.yachtall.com/en/boat/beneteau-57-s210835; Yanmar, 160 hp (118 kW); Nautor's Swan, used boat, GRP/polyester; 17.20 m x 4.83 m;2004;Italy, Liguria;338000;Nautor's Swan;17.2;4.83;19
Jeanneau 53;https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-53/detail/547434/;1 x 110 HP / 81 kW;;16.06 x 4.77 m;2013;Spain » Costa Blanca;335000;Jeanneau;16.06;4.77;10
Dehler 38SQ;https://www.boat24.com/en/sailingboats/dehler/dehler-38sq/detail/541903/;1 x 39 HP / 29 kW;;12.07 x 3.75 m;2022;Germany » Wilhelmshaven;335000;Dehler;12.07;3.75;1
Gulet Caicco ECO 221;https://www.yachtall.com/en/boat/gulet-caicco-eco-221-s195376; DAF, 440 hp (324 kW), diesel; Elan, used boat, GRP/polyester; 22 m x 5.70 m;1988;Turkey;335000;Elan;22;5.7;35
Moody 45 DS e;https://www.yachtall.com/en/boat/moody-45-ds-e-s191841; Yanmar 4JH4 HTE, 110 hp (81 kW), diesel; Moody, used boat, GRP/polyester; 13.72 m x 4.57 m;2010;Greece, Athens;335000;Moody;13.72;4.57;13
Gulet Caicco ECO 788;https://www.yachtall.com/en/boat/gulet-caicco-eco-788-s210194; Daewoo, 285 hp (210 kW), diesel; Bénéteau, used boat, GRP/polyester; 19.60 m x 6 m;2005;Turkey;335000;Bénéteau;19.6;6;18
Jeanneau 53;https://www.yachtall.com/en/boat/jeanneau-53-s213115; Yanmar 4JH4-HTE, 110 hp (81 kW), diesel; Jeanneau, used boat, GRP/polyester; 16.06 m x 4.77 m;2013;Spain, Costa Blanca;335000;Jeanneau;16.06;4.77;10
Jeanneau Sun Odyssey 440;https://www.yachtall.com/en/boat/jeanneau-sun-odyssey-440-s216901; Yanmar 4JH57CR, 57 hp (42 kW), diesel; Dufour, used boat, GRP/polyester; 13.39 m x 4.27 m;2021;Great Britain, Salcombe;334500;Dufour;13.39;4.27;2
